SOURCE,type,trt_functional,order,replicates,insect_dens,insect_densSE,damagescore,damagescore_SE,application,app_SE,rate,cost,yield1,yield1_SE,yield2,yield2_SE,disease,dis_rating,disrating_SE,beneficial insect,beneficial insect value,beneficial insect_SE,,,,,,,,,,,,,,,
10,field,standard,hemiptera,4,2.32,0.47,2.48,0.62,9,.,.,.,1440.6,70.11,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
10,field,threshold,hemiptera,4,2.46,0.3,3.66,0.46,2.75,.,.,.,1473.82,75.45,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
10,field,threshold,hemiptera,4,6.46,1.39,3.15,0.71,4.25,.,.,.,1256.37,61.48,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
11,field,control,lepidoptera,4,.,.,.,.,0,.,.,.,751.26,203.97,,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
11,field,control,lepidoptera,4,.,.,.,.,0,.,.,.,2445.36,259.64,,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
11,field,control,lepidoptera,4,,.,.,.,0,.,.,.,487.33,128.47,,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
11,field,control,lepidoptera,4,7.14,.,.,.,0,.,.,.,2119.225,211.78,,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
11,field,control,lepidoptera,4,.,.,.,.,0,.,.,.,516.85,82.42,,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
11,field,standard,lepidoptera,4,.,.,.,.,6,.,.,.,1507.56,90.44,,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
11,field,standard,lepidoptera,4,.,.,.,.,7,.,.,.,2400.89,271.11,,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
11,field,standard,lepidoptera,4,1.01,.,.,.,7,.,.,.,2418.77,198.23,,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
11,field,standard,lepidoptera,4,.,.,.,.,8,.,.,.,1617.97,129.32,,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
11,field,standard,lepidoptera,4,.,.,.,.,7,.,.,.,1296.57,132.43,,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
11,field,threshold,lepidoptera,4,.,.,.,.,4,.,.,.,1331.09,159.99,,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
11,field,threshold,lepidoptera,4,9.48,.,.,.,1,.,.,.,2141.57,376.64,,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
11,field,threshold,lepidoptera,4,.,.,.,.,0,.,.,.,2154.99,231.01,,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
11,field,threshold,lepidoptera,4,.,.,.,.,7,.,.,.,1556.17,67.83,,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
11,field,threshold,lepidoptera,4,.,.,.,.,4,.,.,.,929.955,147.71,,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
12,field,control,lepidoptera,3,1.41,.,4.25,.,0,.,.,0,0.96,e,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
12,field,control,lepidoptera,3,1.38,.,4.37,.,0,.,.,0,1.4,c,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
12,field,control,lepidoptera,3,1.26,.,4.64,.,0,.,.,0,0.75,d,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
12,field,control,lepidoptera,3,1.81,.,5.24,.,0,.,.,0,1.1,d,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
12,field,standard,lepidoptera,3,0,.,0,.,10,.,.,244.6,3.72,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
12,field,standard,lepidoptera,3,0,.,0,.,10,.,.,244.6,2.83,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
12,field,standard,lepidoptera,3,0,.,0,.,10,.,.,243.4,3.1,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
12,field,standard,lepidoptera,3,0,.,0,.,9,.,.,227.8,2.84,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
12,field,threshold,lepidoptera,3,0.5,.,1.6,.,7,.,.,195.4,2.93,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
12,field,threshold,lepidoptera,3,0.64,.,2.04,.,6,.,.,178.6,2.45,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
12,field,threshold,lepidoptera,3,0.81,.,1.92,.,6,.,.,178.6,2,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
12,field,threshold,lepidoptera,3,0.57,.,1.77,.,7,.,.,178.6,1.63,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
12,field,threshold,lepidoptera,3,0.73,.,1.9,.,6,.,.,178.6,1.69,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
12,field,threshold,lepidoptera,3,0.54,.,1.5,.,8,.,.,195.4,2.22,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
12,field,threshold,lepidoptera,3,0.6,.,1.44,.,7,.,.,195.4,2.34,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
12,field,threshold,lepidoptera,3,0.39,.,0.82,.,7,.,.,195.4,2.25,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,4.5,0.5,.,.,0,.,.,0.00,1178,73,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,3,0.5,.,.,0,.,.,0.00,1036,60,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,7.4,0.9,.,.,0,.,.,0.00,665,83,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,5.8,1.2,.,.,0,.,.,0.00,936,119,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,24.6,1.5,.,.,0,.,.,0.00,1178,73,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,5.3,1.7,.,.,0,.,.,0.00,1036,60,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,13.8,1.7,.,.,0,.,.,0.00,665,83,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,22,2.6,.,.,0,.,.,0.00,936,119,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,18.6,2.7,.,.,0,.,.,0.00,1224,49,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,29.8,2.9,.,.,0,.,.,0.00,936,119,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,13,3.1,.,.,0,.,.,0.00,1036,60,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,28.5,3.3,.,.,0,.,.,0.00,1343,28,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,22.3,3.6,.,.,0,.,.,0.00,665,83,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,17.2,3.7,.,.,0,.,.,0.00,1343,28,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,81.7,3.9,.,.,0,.,.,0.00,1178,73,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,31.3,4.3,.,.,0,.,.,0.00,726,51,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,39.7,4.3,.,.,0,.,.,0.00,726,51,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,19.4,4.6,.,.,0,.,.,0.00,776,87,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,27.7,5.5,.,.,0,.,.,0.00,1224,49,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,60.4,6.5,.,.,0,.,.,0.00,726,51,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,8.8,6.6,.,.,0,.,.,0.00,776,87,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,20.4,6.9,.,.,0,.,.,0.00,1224,49,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,44.3,9.3,.,.,0,.,.,0.00,1343,28,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,control,hemiptera,5,30.7,18.6,.,.,0,.,.,0.00,776,87,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,3.5,0.2,.,.,4.2,.,.,181.61,1106,92,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,0.3,0.2,.,.,6,.,.,259.44,1253,124,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,1.3,0.3,.,.,12,.,.,518.88,2132,114,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,1.5,0.3,.,.,9,.,.,389.16,1600,97,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,2.3,0.3,.,.,6,.,.,259.44,1253,124,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,1.4,0.5,.,.,3,.,.,129.72,798,107,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,1.3,0.6,.,.,6,.,.,259.44,1253,124,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,6.4,0.7,.,.,12,.,.,518.88,2132,114,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,2.5,0.7,.,.,8,.,.,345.92,1348,100,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,4.5,0.7,.,.,8,.,.,345.92,1348,100,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,2.5,0.8,.,.,8,.,.,345.92,1840,33,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,2.7,0.8,.,.,3,.,.,129.72,798,107,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,5.4,0.9,.,.,12,.,.,518.88,2132,114,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,5.8,1,.,.,9,.,.,389.16,1600,97,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,5.2,1,.,.,8,.,.,345.92,1840,33,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,7.2,1.3,.,.,9,.,.,389.16,1600,97,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,24.3,1.6,.,.,8,.,.,345.92,854,41,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,12.9,1.7,.,.,8,.,.,345.92,854,41,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,5.8,1.8,.,.,4.2,.,.,181.61,1106,92,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,3,1.8,.,.,3,.,.,129.72,798,107,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,7.2,2.6,.,.,8,.,.,345.92,1840,33,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,11.1,3.5,.,.,8,.,.,345.92,1348,100,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,16.4,4.5,.,.,4.2,.,.,181.61,1106,92,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,standard,hemiptera,5,32.8,5.4,.,.,8,.,.,345.92,854,41,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,1.6,0.1,.,.,6,.,.,259.44,1448,55,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,0.4,0.1,.,.,5,.,.,216.20,1243,128,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,1.1,0.2,.,.,10,.,.,432.40,1935,122,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,1.1,0.2,.,.,11,.,.,475.64,2166,44,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,1.1,0.2,.,.,3,.,.,129.72,882,95,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,1.5,0.3,.,.,5,.,.,216.20,1566,69,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,3.1,0.3,.,.,2,.,.,86.48,764,67,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,6.6,0.3,.,.,2,.,.,86.48,764,67,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,5.6,0.4,.,.,11,.,.,475.64,2166,44,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,6.8,0.4,.,.,7,.,.,302.68,1710,120,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,0.8,0.4,.,.,3,.,.,129.72,1069,67,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,2.9,0.4,.,.,5,.,.,216.20,1243,128,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,5.4,0.5,.,.,10,.,.,432.40,1935,122,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,2.5,0.5,.,.,7,.,.,302.68,1710,120,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,34.7,0.5,.,.,5,.,.,216.20,720,29,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,2,0.5,.,.,3,.,.,129.72,882,95,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,2.7,0.5,.,.,3,.,.,129.72,882,95,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,9.8,0.7,.,.,6,.,.,259.44,1448,55,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,4.4,0.7,,.,5,.,.,216.20,1793,40,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,4,0.7,.,.,1,.,.,43.24,1065,50,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,5.5,0.7,.,.,2,.,.,86.48,764,67,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,7.6,0.8,.,.,6,.,.,259.44,1448,55,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,4.3,0.8,.,.,3.4,.,.,147.02,989,17,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,1.6,0.8,.,.,5,.,.,216.20,1243,128,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,5.2,0.9,.,.,6,.,.,259.44,1404,42,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,8.1,1,,.,5,.,.,216.20,1793,40,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,4.5,1,.,.,4,.,.,172.96,1221,87,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,10.2,1.1,.,.,10,.,.,432.40,1935,122,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,7.4,1.1,.,.,5,.,.,216.20,1566,69,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,5.5,1.2,.,.,3,.,.,129.72,1069,67,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,9.1,1.3,,.,5,.,.,216.20,1793,40,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,3.4,1.3,.,.,6,.,.,259.44,1404,42,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,11.6,1.4,.,.,11,.,.,475.64,2166,44,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,12.6,1.5,.,.,5,.,.,216.20,1566,69,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,9.8,1.5,.,.,4,.,.,172.96,1221,87,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,12.8,1.5,.,.,8,.,.,345.92,878,33,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,9.8,1.6,.,.,4,.,.,172.96,1221,87,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,5.3,1.6,.,.,3.4,.,.,147.02,989,17,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,7,1.7,.,.,7,.,.,302.68,1710,120,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,2.7,1.8,.,.,1,.,.,43.24,1065,50,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,29.1,1.9,.,.,8,.,.,345.92,878,33,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,4.5,2.1,.,.,3,.,.,129.72,1069,67,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,22.9,2.9,.,.,5,.,.,216.20,720,29,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,11.5,3.4,.,.,6,.,.,259.44,1404,42,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,24.1,3.4,.,.,8,.,.,345.92,878,33,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,17.3,4.9,.,.,1,.,.,43.24,1065,50,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,18,5.1,.,.,3.4,.,.,147.02,989,17,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
13,field,threshold,hemiptera,5,52.1,7.6,.,.,5,.,.,216.20,720,29,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
14,field,control,lepidoptera,4,.,.,5.43,0.41,0,.,0.0528 kg,0,971.22,142.78,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
14,field,control,lepidoptera,4,.,.,3.76,0.53,0,.,0.0528 kg,0,1187.05,280.44,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
14,field,control,lepidoptera,4,.,.,5.23,0.67,0,.,0.0528 kg,0,2050.35,679.65,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
14,field,standard,lepidoptera,4,.,.,1.12,0.11,2,.,0.0528 kg,86.48,3971.22,597.78,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
14,field,standard,lepidoptera,4,.,.,0.87,0.15,2,.,0.0528 kg,86.48,1976.78,66.22,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
14,field,standard,lepidoptera,4,.,.,1.93,0.39,2,.,0.0528 kg,86.48,1230.21,347.79,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
14,field,threshold,lepidoptera,4,.,.,1.71,0.03,2,.,0.0528 kg,86.48,1748.2,405.8,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
14,field,threshold,lepidoptera,4,.,.,1.86,0.19,2,.,0.0528 kg,86.48,2330.93,622.07,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
14,field,threshold,lepidoptera,4,.,.,2.41,0.2,1,.,0.0528 kg,43.24,1446.043,261.957,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
14,field,threshold,lepidoptera,4,.,.,1.06,0.27,2,.,0.0528 kg,86.48,2633.093,839.907,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
14,field,threshold,lepidoptera,4,.,.,1.75,0.3,2,.,0.0528 kg,86.48,1705.035,374.965,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
14,field,threshold,lepidoptera,4,.,.,1.48,0.3,2,.,0.0528 kg,86.48,1856.11,279.89,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
14,field,threshold,lepidoptera,4,.,.,1.91,0.37,1,.,0.0528 kg,43.24,1899.21,199.79,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
14,field,threshold,lepidoptera,4,.,.,3.49,0.43,1,.,0.0528 kg,43.24,2568.34,718.66,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
14,field,threshold,lepidoptera,4,.,.,1.48,0.45,1,.,0.0528 kg,43.24,1100.71,607.29,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
15,specialty,control,coleoptera,4,0.274833333,.,.,.,0,.,0.11kg (AI)/ha,6042,405.15,.,.,.,bacterial wilt,0.4,.,.,.,.,,,,,,,,,,,,,,,
15,specialty,control,coleoptera,4,0.36625,.,.,.,0,.,0.11kg (AI)/ha,6681,311.655,.,.,.,bacterial wilt,28.8,.,.,.,.,,,,,,,,,,,,,,,
15,specialty,control,coleoptera,4,0.7875,.,.,.,0,.,0.11kg (AI)/ha,3707,565.812,.,.,.,bacterial wilt,8,.,.,.,.,,,,,,,,,,,,,,,
15,specialty,control,coleoptera,4,0.264444444,.,.,.,0,.,0.11kg (AI)/ha,5253,764.478,.,.,.,bacterial wilt,1.1,.,.,.,.,,,,,,,,,,,,,,,
15,specialty,standard,coleoptera,4,0.038416667,.,.,.,10,.,0.11kg (AI)/ha,5997,461.496,.,.,.,bacterial wilt,0.4,.,.,.,.,,,,,,,,,,,,,,,
15,specialty,standard,coleoptera,4,0.152166667,.,.,.,10,.,0.11kg (AI)/ha,8593,429.18,.,.,.,bacterial wilt,7.9,.,.,.,.,,,,,,,,,,,,,,,
15,specialty,standard,coleoptera,4,0.1568,.,.,.,9,.,0.11kg (AI)/ha,3784,627.216,.,.,.,bacterial wilt,2.3,.,.,.,.,,,,,,,,,,,,,,,
15,specialty,standard,coleoptera,4,0.16,.,.,.,8,.,0.11kg (AI)/ha,4886,710.93,.,.,.,bacterial wilt,0,.,.,.,.,,,,,,,,,,,,,,,
15,specialty,threshold,coleoptera,4,0.26275,.,.,.,2,.,0.11kg (AI)/ha,5529,451.766,.,.,.,bacterial wilt,1.3,.,.,.,.,,,,,,,,,,,,,,,
15,specialty,threshold,coleoptera,4,0.206666667,.,.,.,2,.,0.11kg (AI)/ha,9113,446.08,.,.,.,bacterial wilt,6.3,.,.,.,.,,,,,,,,,,,,,,,
15,specialty,threshold,coleoptera,4,0.3755,.,.,.,2,.,0.11kg (AI)/ha,4381,719.032,.,.,.,bacterial wilt,1.8,.,.,.,.,,,,,,,,,,,,,,,
15,specialty,threshold,coleoptera,4,0.291111111,.,.,.,1,.,0.11kg (AI)/ha,6268,865.881,.,.,.,bacterial wilt,0,.,.,.,.,,,,,,,,,,,,,,,
16,field,control,hemiptera,4,2.99,0.21,56.98,2.38,0,.,.,0,642.85,62.15,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
16,field,control,hemiptera,4,6.78,1.1,27.91,3.25,0,.,.,0,1441.53,17.47,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
16,field,control,hemiptera,4,8.74,2.04,32.79,4.33,0,.,.,0,776.209,108.791,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
16,field,control,hemiptera,4,2.44,0.12,34.05,9.1,0,.,.,0,1091.8,104.2,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
16,field,standard,hemiptera,4,2.54,0.5,6.23,0.81,8,.,.,60.48,1666.66,87.34,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
16,field,standard,hemiptera,4,2.8,0.59,2.71,1.08,8,.,.,60.48,1350.36,8.64,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
16,field,standard,hemiptera,4,1.04,0.08,12.78,3.2,8,.,.,60.48,1989.05,117.95,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
16,field,standard,hemiptera,4,1.28,0.13,26.48,6.62,8,.,.,60.48,1336.73,100.27,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
16,field,threshold,hemiptera,4,3.31,0.65,6.5,0.54,4,.,.,30.24,1995.96,75.04,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
16,field,threshold,hemiptera,4,4.34,0.77,5.42,0.81,3,.,.,22.68,1370.96,11.04,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
16,field,threshold,hemiptera,4,1.16,0.12,16.21,5.25,4,.,.,30.24,1499.99,137.01,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
16,field,threshold,hemiptera,4,1.27,0.59,16.66,6.62,4,.,.,30.24,1240.87,118.13,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
17,specialty,control,hemiptera,4,42.1,.,.,.,0,.,0.1kg(AI)/ha + 1.1kg(AI)/ha,0,1.8,.,36.00,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
17,specialty,control,hemiptera,5,32.3,.,.,.,0,.,0.05kg(AI)/ha,0,2.7,.,43.00,.,.,.,.,Parasitic wasp,0.9,.,,,,,,,,,,,,,,,
17,specialty,standard,hemiptera,4,6.1,.,.,.,2,.,0.1kg(AI)/ha + 1.1kg(AI)/ha,122,3,.,51.00,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
17,specialty,standard,hemiptera,4,7.5,.,.,.,10,.,0.1kg(AI)/ha + 1.1kg(AI)/ha,210,3,.,51.00,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
17,specialty,standard,hemiptera,5,7.1,.,.,.,6,.,0.05kg(AI)/ha,90,3.9,.,57.00,.,.,.,.,Parasitic wasp,0.1,.,,,,,,,,,,,,,,,
17,specialty,threshold,hemiptera,4,7,.,.,.,6,.,0.1kg(AI)/ha + 1.1kg(AI)/ha,126,2.9,.,49.00,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
17,specialty,threshold,hemiptera,5,14.4,.,.,.,4,.,0.05kg(AI)/ha,60,3.1,.,47.00,.,.,.,.,Parasitic wasp,0.3,.,,,,,,,,,,,,,,,
17,specialty,threshold,hemiptera,5,10.6,.,.,.,10,.,0.05kg(AI)/ha,150,3.4,.,52.00,.,.,.,.,Parasitic wasp,0.3,.,,,,,,,,,,,,,,,
18,field,control,hemiptera,4,239.58,.,.,.,0,.,.,.,3574.38,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
18,field,control,hemiptera,4,679.71,.,.,.,0,.,.,.,2987.5,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
18,field,standard,hemiptera,4,27.07,.,.,.,6.8,0.4,.,.,4194.21,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,
